kp,hand_x_mean,hand_z_mean,x_osc_std,qacc_max,ok
50.0,0.3939,1.387,0.00087,285.33,False
100.0,0.3704,1.4186,0.00014,285.33,False
150.0,0.3673,1.4226,0.00075,285.33,False
200.0,0.3668,1.4266,0.00057,285.33,False
