pitch,roll,elbow_p,elbow_yaw,hand_x,hand_z,x_osc,z_osc,qacc_max,stable,z_ok,x_ok,candidate
-3.0,0.0,1.0,0.0,0.0564,0.8782,0.0,3e-05,0.93,True,False,False,False
-3.0,0.0,1.0,0.5,0.0266,0.9438,0.0,3e-05,0.9,True,False,False,False
-3.0,0.0,1.0,1.0,0.004,0.9943,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.0,1.0,1.5,-0.0056,1.0169,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.0,1.0,2.0,0.0001,1.006,0.0,1e-05,0.81,True,False,False,False
-3.0,0.0,1.5,0.0,0.0564,0.8782,0.0,3e-05,0.94,True,False,False,False
-3.0,0.0,1.5,0.5,0.0616,0.9501,0.0,2e-05,0.9,True,False,False,False
-3.0,0.0,1.5,1.0,0.0657,1.0054,0.0,3e-05,0.81,True,False,False,False
-3.0,0.0,1.5,1.5,0.0676,1.0301,0.0,2e-05,0.81,True,False,False,False
-3.0,0.0,1.5,2.0,0.0668,1.0181,0.0,1e-05,0.81,True,False,False,False
-3.0,0.0,2.0,0.0,0.0564,0.8782,0.0,3e-05,0.93,True,False,False,False
-3.0,0.0,2.0,0.5,0.0953,0.9389,0.0,3e-05,0.9,True,False,False,False
-3.0,0.0,2.0,1.0,0.1251,0.9856,0.0,3e-05,0.81,True,False,False,False
-3.0,0.0,2.0,1.5,0.1381,1.0065,0.0,2e-05,0.81,True,False,False,False
-3.0,0.0,2.0,2.0,0.131,0.9966,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,-1.0,0.0,0.081,1.0491,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,-1.0,0.5,0.0336,0.993,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,-1.0,1.0,-0.0045,0.9338,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.5,-1.0,1.5,-0.024,0.886,0.0,3e-05,0.81,True,False,False,False
-3.0,0.5,-1.0,2.0,-0.0203,0.8612,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,-0.5,0.0,0.081,1.0492,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,-0.5,0.5,0.0128,1.0194,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.5,-0.5,1.0,-0.041,0.9799,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.5,-0.5,1.5,-0.0672,0.9404,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,-0.5,2.0,-0.0597,0.9108,0.0,0.0,0.81,True,False,False,False
-3.0,0.5,0.0,0.0,0.0811,1.0492,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,0.0,0.5,0.0085,1.0509,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.5,0.0,1.0,-0.0488,1.0352,1e-05,3e-05,0.81,True,False,False,False
-3.0,0.5,0.0,1.5,-0.0766,1.0059,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,0.0,2.0,-0.0682,0.9703,0.0,0.0,0.81,True,False,False,False
-3.0,0.5,0.5,0.0,0.0812,1.0492,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,0.5,0.5,0.0217,1.08,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,0.5,1.0,-0.0259,1.0862,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.5,0.5,1.5,-0.0495,1.0663,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,0.5,2.0,-0.0435,1.0253,0.0,0.0,0.81,True,False,False,False
-3.0,0.5,1.0,0.0,0.0812,1.0491,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,1.0,0.5,0.0491,1.0993,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,1.0,1.0,0.0222,1.1203,1e-05,2e-05,0.81,True,False,False,False
-3.0,0.5,1.0,1.5,0.0074,1.1068,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,1.0,2.0,0.0083,1.0621,0.0,0.0,0.81,True,False,False,False
-3.0,0.5,1.5,0.0,0.0811,1.0491,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,1.5,0.5,0.084,1.1043,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,1.5,1.0,0.0837,1.1292,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,1.5,1.5,0.0803,1.1173,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,1.5,2.0,0.0746,1.0716,0.0,0.0,0.81,True,False,False,False
-3.0,0.5,2.0,0.0,0.0811,1.0492,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,2.0,0.5,0.1179,1.0938,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,2.0,1.0,0.1434,1.1105,0.0,2e-05,0.81,True,False,False,False
-3.0,0.5,2.0,1.5,0.1511,1.0951,0.0,1e-05,0.81,True,False,False,False
-3.0,0.5,2.0,2.0,0.1391,1.0514,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,-1.0,0.0,0.1003,1.18,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,-1.0,0.5,0.0546,1.1373,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,-1.0,1.0,0.0158,1.0747,1e-05,2e-05,0.81,True,False,False,False
-3.0,1.0,-1.0,1.5,-0.0066,1.0075,0.0,2e-05,0.81,True,False,False,False
-3.0,1.0,-1.0,2.0,-0.0072,0.9524,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,-0.5,0.0,0.1003,1.1801,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,-0.5,0.5,0.0325,1.1551,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,-0.5,1.0,-0.0229,1.1057,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,-0.5,1.5,-0.0524,1.0441,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,-0.5,2.0,-0.049,0.9856,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,0.0,0.0,0.1003,1.1801,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,0.0,0.5,0.0265,1.1752,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,0.0,1.0,-0.0336,1.1408,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,0.0,1.5,-0.0651,1.0857,1e-05,1e-05,0.81,True,False,False,False
-3.0,1.0,0.0,2.0,-0.0605,1.0234,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,0.5,0.0,0.1003,1.1801,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,0.5,0.5,0.0381,1.1927,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,0.5,1.0,-0.0135,1.1716,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,0.5,1.5,-0.0414,1.1221,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,0.5,2.0,-0.0389,1.0564,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.0,0.0,0.1003,1.1801,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,1.0,0.5,0.0643,1.2034,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.0,1.0,0.0325,1.1904,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.0,1.5,0.013,1.1443,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.0,2.0,0.0106,1.0766,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.5,0.0,0.1003,1.1801,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,1.5,0.5,0.0988,1.2046,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.5,1.0,0.0931,1.1926,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.5,1.5,0.0848,1.1469,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,1.5,2.0,0.0764,1.0726,3e-05,0.00015,0.81,True,False,False,False
-3.0,1.0,2.0,0.0,0.1003,1.1801,0.0,1e-05,0.81,True,False,False,False
-3.0,1.0,2.0,0.5,0.1331,1.1961,1e-05,0.0,0.81,True,False,False,False
-3.0,1.0,2.0,1.0,0.1534,1.1776,1e-05,0.0,0.81,True,False,False,False
-3.0,1.0,2.0,1.5,0.1562,1.1291,0.0,0.0,0.81,True,False,False,False
-3.0,1.0,2.0,2.0,0.1408,1.0628,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-1.0,0.0,0.1087,1.237,0.0,0.0,0.81,True,False,False,False
-3.0,1.5,-1.0,0.5,0.0667,1.22,0.0,0.0,0.81,True,False,False,False
